City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Macquarie,-31.43,152.92,19.44,66,0,0.45,AU,1596346756
Pitkyaranta,61.57,31.48,16.21,66,78,0.75,RU,1596346756
George Town,5.41,100.34,31.0,74,20,2.1,MY,1596346697
Guanaja,16.4,-85.9,28.44,78,8,2.35,HN,1596346756
Arlit,18.74,7.39,30.51,48,41,1.63,NE,1596346756
Bambous Virieux,-20.34,57.76,22.78,78,75,5.7,MU,1596346757
Jamestown,42.1,-79.24,20.56,93,20,4.1,US,1596346757
Norman Wells,65.28,-126.83,23.0,73,75,1.0,CA,1596346757
Tazovsky,67.47,78.7,12.78,94,99,6.28,RU,1596346758
Barrow,71.29,-156.79,2.0,77,90,4.1,US,1596346754
Kahului,20.89,-156.47,27.0,57,40,6.7,US,1596346637
Vardø,70.37,31.11,9.77,86,100,5.54,NO,1596346758
Mahon,39.89,4.27,25.0,78,3,6.7,ES,1596346758
Mahajanga,-15.72,46.32,24.0,47,20,6.7,MG,1596346759
Dejen,10.17,38.13,11.24,100,99,2.35,ET,1596346759
Kapaa,22.08,-159.32,26.0,78,40,5.7,US,1596346759
Nikolskoye,59.7,30.79,17.22,87,40,2.0,RU,1596346759
Ushuaia,-54.8,-68.3,2.0,93,95,2.1,AR,1596346760
Saskylakh,71.92,114.08,24.61,34,100,2.75,RU,1596346760
Arrondissement de Poitiers,46.58,0.33,16.11,82,75,3.1,FR,1596346760
Vaini,-21.2,-175.2,22.0,78,75,3.1,TO,1596346761
Punta Arenas,-53.15,-70.92,2.0,93,100,8.7,CL,1596346761
Hendek,40.8,30.75,22.0,88,40,2.6,TR,1596346761
Guiratinga,-16.35,-53.76,18.48,53,35,2.22,BR,1596346761
New Norfolk,-42.78,147.06,13.33,48,87,1.34,AU,1596346762
Bluff,-46.6,168.33,10.38,89,100,2.12,NZ,1596346711
Butaritari,3.07,172.79,28.8,77,9,7.53,KI,1596346762
Klaksvík,62.23,-6.59,10.0,100,51,5.1,FO,1596346763
Linxia Chengguanzhen,35.6,103.21,29.16,29,31,3.28,CN,1596346763
Rikitea,-23.12,-134.97,22.93,79,40,3.62,PF,1596346763
Alofi,-19.06,-169.92,22.0,73,100,3.1,NU,1596346661
Khatanga,71.97,102.5,19.3,73,100,4.92,RU,1596346764
Nabire,-3.37,135.48,26.55,83,97,0.68,ID,1596346764
Jiuquan,39.74,98.52,30.26,12,47,5.54,CN,1596346764
Sergeevka,53.88,67.42,28.49,51,2,3.86,KZ,1596346764
Weymouth,42.22,-70.94,23.33,83,20,3.1,US,1596346592
Busselton,-33.65,115.33,13.33,94,61,1.34,AU,1596346765
Natal,-5.79,-35.21,23.0,94,40,2.1,BR,1596346765
Atuona,-9.8,-139.03,26.23,76,38,7.49,PF,1596346765
Lata,40.16,-8.33,17.22,92,55,1.11,PT,1596346765
Saldanha,-33.01,17.94,10.0,71,0,0.5,ZA,1596346766
Mataura,-46.19,168.86,9.89,94,100,0.62,NZ,1596346766
Constitución,-35.33,-72.42,12.01,90,100,1.54,CL,1596346743
Arraial do Cabo,-22.97,-42.03,20.33,74,3,5.07,BR,1596346624
Xudat,41.63,48.68,27.95,52,53,7.85,AZ,1596346767
Nantucket,41.28,-70.1,19.0,93,1,2.6,US,1596346767
Tiksi,71.69,128.87,10.21,67,66,1.79,RU,1596346767
Seoul,37.57,126.98,28.0,94,90,5.7,KR,1596346451
Narsaq,60.92,-46.05,8.0,75,97,2.1,GL,1596346768
Hobart,-42.88,147.33,14.0,41,75,6.2,AU,1596346637
Leshukonskoye,64.9,45.76,10.72,96,100,2.38,RU,1596346768
San Lorenzo,-25.33,-57.53,22.0,56,0,3.1,PY,1596346768
Castro,-24.79,-50.01,9.66,97,0,1.44,BR,1596346769
Ponta do Sol,32.67,-17.1,22.0,78,20,8.2,PT,1596346769
Mahébourg,-20.41,57.7,22.0,78,75,5.7,MU,1596346769
Bredasdorp,-34.53,20.04,8.0,93,0,2.1,ZA,1596346769
Saint-Philippe,-21.36,55.77,21.0,68,90,6.2,RE,1596346632
Ati,13.22,18.34,24.59,80,100,7.87,TD,1596346770
Banda Aceh,5.56,95.32,30.24,65,100,7.55,ID,1596346642
Albany,42.6,-73.97,25.0,59,100,1.66,US,1596346530
Tasiilaq,65.61,-37.64,6.0,70,35,1.5,GL,1596346771
Fremont,37.55,-121.99,18.89,77,75,3.1,US,1596346380
Saint Paul Harbor,57.79,-152.41,14.0,76,90,1.5,US,1596346771
San Francisco,37.77,-122.42,16.0,82,20,5.1,US,1596346737
Ribeira Grande,38.52,-28.7,21.38,69,2,3.47,PT,1596346772
Havre-St-Pierre,50.23,-63.6,13.0,93,1,2.6,CA,1596346772
Hithadhoo,-0.6,73.08,28.56,71,64,4.61,MV,1596346772
Yangi Marg`ilon,40.43,71.72,30.0,25,0,2.1,UZ,1596346773
Hilo,19.73,-155.09,27.0,57,90,2.1,US,1596346644
Cape Town,-33.93,18.42,12.0,58,0,0.5,ZA,1596346773
Issia,6.49,-6.59,20.69,98,99,1.35,CI,1596346774
Owando,-0.48,15.9,22.91,89,100,2.17,CG,1596346486
Oranjemund,-28.55,16.43,20.2,24,0,5.35,NA,1596346774
Inírida,3.87,-67.92,21.83,96,30,0.63,CO,1596346775
Dikson,73.51,80.55,10.25,88,23,6.81,RU,1596346775
Provideniya,64.38,-173.3,9.09,63,14,3.86,RU,1596346775
Kaitangata,-46.28,169.85,12.22,72,93,1.79,NZ,1596346775
